RECALL_ID|TOZAR_CD|TOZAR_TEUR|DEGEM|SHNAT_RECALL|BUILD_BEGIN_A|BUILD_END_A|SUG_RECALL|SUG_TAKALA|TEUR_TAKALA|OFEN_TIKUN|TKINA_EU|YEVUAN_TEUR|TELEPHONE|WEBSITE
"11020"|"001"|"TOYOTA"|"AVENSIS"|"2011"|"2000-01-02"|"2008-12-31"|"תקלה סידרתית בטיחותית"|"מנוע ומערכותיו"|"שסתום צינור דלק אוונסיס"|"החלפה"|"M1"|"יוניון מוטורס בעמ"|"1-800-22-1514"|"WWW.TOYOTA.CO.IL/SERVICE-AND-ACCESSORIES/RECALL"
"11026"|"038"|"MERCEDES BENZ"|"VITO,VIANO"|"2011"|"2008-01-01"|"2010-12-31"|"קמפיין שרות טכני"|"חשמל אליקטרוניקה ומיזוג"|"ממסר מאוור מזגן"|"החלפה"|"M1"|"כלמוביל מרצדס"|"03-9153030"|"WWW.COLMOBIL-RECALL.CO.IL"
"11029"|"105"|"SUZUKI MOTORCYCLES"|"EXEL  SUZUK"|"2011"|"2010-01-03"|"2010-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"וסת מתח"|"החלפה"|"L1"|"אבניר חברה לרכב בעמ"|"03-5158856/7"|"WWW.OFERAVNIR.CO.IL/RECALLS"
"11030"|"027"|"ISUZU TRUCKS"|"TROOPER"|"2011"|"1999-01-03"|"2004-12-31"|"תקלה סידרתית בטיחותית"|"מנוע ומערכותיו"|"צמת חוטים לחיישן מצב המצערת TPS"|"החלפה"|"M2"|"יוניברסל מוטורס ישראל בעמ"|"*884"|"WWW.UTI.CO.IL/CALLBACK-SERVICE"
"11032"|"039"|"MITSUBISHI"|"MITSUBISHI  PAJERO"|"2011"|"2003-01-05"|"2003-12-31"|"תקלה סידרתית בטיחותית"|"בלמים"|"סדק מחיצה פנימית (דיאפרגמה)"|"טיפול"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"11037"|"002"|"MAZDA"|"MAZDA 6"|"2011"|"2008-01-01"|"2008-03-01"|"תקלה סידרתית בטיחותית"|"מנוע ומערכותיו"|"תפס פין בוכנה"|"בדיקה"|"M1"|"דלק מוטורס בעמ"|"08-9139995"|"WWW.MAZDA.CO.IL/RECALL.ASPX"
"11038"|"058"|"YAMAHA"|"YAMAHA WR 125R"|"2011"|"2010-01-03"|"2011-12-30"|"קמפיין שרות טכני"|"בלמים"|"שבר בולם אחורי"|"החלפה"|"L2"|"מטרו מוטור שווק )1891( בעמ"|"*9697"|"WWW.METRO.CO.IL/LOCATIONS?TYPE=SERVICE"
"11045"|"052"|"SSANGYONG"|"SANYANG LM 25.LH 30"|"2011"|"2009-01-01"|"2010-12-31"|"קמפיין שרות טכני"|"חשמל אליקטרוניקה ומיזוג"|"שיפור בית נתיך ראשי"|"בדיקה"|"L1"|"מטרו מוטור שווק )1891( בעמ"|"1-800-800-484"|"WWW.SSANGYONG.CO.IL"
"11046"|"023"|"FORD"|"S-MAX. GALAXY. MONDEO"|"2011"|"2010-03-01"|"2010-12-31"|"תקלה סידרתית בטיחותית"|"חשמל אליקטרוניקה ומיזוג"|"כשל בפעולת פנסי תאורה חיצוניים אשר עלולים להבהב ו/או להיכבות"|"החלפה"|"M1"|"דלק מוטורס בעמ"|"08-9139995"|"WWW.FORD.CO.IL"
"11050"|"037"|"MAN"|"MAN"|"2011"|"2010-01-03"|"2010-12-31"|"קמפיין שרות טכני"|"בלמים"|"שסתום בלמים ידני ,בלם חניה"|"החלפה"|"N1"|"מכשירי תנועה ומשאיות"|"03-9639000,  252*"|"WWW.MAN.CO.IL"
